2017-10-16 16:45:16,740 - INFO - args: (<__main__.Client object at 0x0000000002AF94A8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50547), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 16:46:20,779 - INFO - args: (<__main__.Client object at 0x0000000002B09518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50548), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 16:46:20,790 - INFO - args: (<__main__.Client object at 0x0000000002AF9518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50549), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 16:48:20,067 - INFO - args: (<__main__.Client object at 0x0000000002AF9518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50551), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 16:48:20,068 - INFO - args: (<__main__.Client object at 0x0000000002AE9518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50550), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 16:49:02,289 - INFO - args: (<__main__.Client object at 0x0000000002B29518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50552), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 16:49:02,327 - INFO - args: (<__main__.Client object at 0x0000000002B09518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50553), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 16:50:18,329 - INFO - args: (<__main__.Client object at 0x0000000002B19518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50554), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 16:50:18,473 - INFO - args: (<__main__.Client object at 0x0000000002AE9518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50555), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 16:50:38,630 - INFO - args: (<__main__.Client object at 0x0000000002B194A8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50556), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 16:50:38,658 - INFO - args: (<__main__.Client object at 0x0000000002AF9518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50557), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 16:54:23,252 - INFO - args: (<__main__.Client object at 0x0000000002B19518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50558), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 16:54:23,255 - INFO - args: (<__main__.Client object at 0x0000000002AD9518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50559), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 17:07:46,184 - INFO - args: (<__main__.Client object at 0x0000000002AE74A8>,)  - _connect - __main__
2017-10-16 17:07:46,200 - INFO - args: (<__main__.Client object at 0x0000000002AC7438>,)  - _connect - __main__
2017-10-16 17:11:13,066 - INFO - args: (<__main__.Client object at 0x0000000002AD74E0>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50629), raddr=('127.0.0.1', 7777)> - _connect - __main__
